ID,Username,Rating,cleaned_text
R3W1QJKF0JWGMC,Sumit s.,4,nice dumbbell shown image
R30IOBBKH192LX,Raziya sultana,4,helpful
R1N16AJZBS672M,Shiwani Prakash,4,good looking colour finishing also good packaging also good taken dilivery charge extra
R3JO016YKP2FMZ,Samadhan lohar,4,best option beginning little bigger shown image
R1V73QHCUFSO3G,Rama,4,good item
RY88NCICXND29,prasad,4,liked
R1882GM7UGIT47,Yash kher,5,good product
RAXOA7CKBYG7W,Amal Vijayan,5,far better thought thankyou thankyou delaying th delivery missing second product bought together
RQ19CFUC8EX0X,Bharti Agrawal,5,good quality dumbbell
R1QBULASKMDNX8,Mohit Yadav,5,perfect
R2I6CWE96YYYJ0,Renu B.,4,oval good product kg dumbals kg see image captured
RDIJQQU3HWV89,Vasuki Kannan,5,super
R61ES5IL197Y4,Designs are totaly changed. 😥. Not happy at all.,4,good
R2PJJ2UXZEE36Q,Ritesh Velaga,4,think dumbbell filled concrete would explain low price noticeable rattling sound use yoga said hard complain expect great grip entire outer body plastic
R3LDRK6RTMGCLG,chandra pandey,4,good
R1AFXUP83QYSX6,Amazon Customer,4,pvc dumbells bulkier metal one
R14F4FM7Y44W9E,Tankadhar M.,3,good
R20SJS9MQCJA0G,GENIUS,3,quality ok overall dumbble good beginner
R3G60NKRTVZMQ3,B sandesh,4,sufficient home workout plastic quality fine say strong sure last long earlier thought might spell plastic degrade long run different good material used worth price packaging also good three layer literally thanks lifelong budget clean product
RGYBBCHUCRU4Z,Jawahar,3,good
R3ODCQ4JK1L0RI,CHANDAN KUMAR SAHOO,3,okok
R2TLRKFYI39VOY,Pinku Ghosh,3,one product good filling improper making rattling sound movement
R2L9614K3UADRN,Ravindra S. Nagpure,4,superb excellent product
R1W73L0G2UUEKA,Yogesh,5,good price best suitable beginner
R2O776MJADI35H,Sameer Shahi,4,right everything feel good dumbell build colour grip feel nice work well month come rate till
R2JADCK5OJY8NE,Bharat chouhan,3,one dumbbell filled properly gap inside pick sound inside
R2QPMYMPEE7DSY,priya madhuri kindo,4,begginers friendly
R1TFCS3OPIPFNU,Ankit M.,4,ok ok quality fine temporary use
R2PMPZ0AV8AFQR,Jothi,4,good
R60EYISFTDKA8,Aish,4,slight small crack one dumbbell otherwise really good
RNR7MLGXJO9DH,Gopal raj,4,good product
RELM84HHXVTAD,E M,4,good home workout beginner
RV122GHUTX8IO,Amrita Singh,3,feel like dumbell boxed inside plastic casing end good home gym worth spent
RMV7A2MAVRLAJ,Kajal R,3,recieved early expected heavy kg light weight
R2O776MJADI35H,Sameer Shahi,4,right everything feel good dumbell build colour grip feel nice work well month come rate till
R2JADCK5OJY8NE,Bharat chouhan,3,one dumbbell filled properly gap inside pick sound inside
R2QPMYMPEE7DSY,priya madhuri kindo,4,begginers friendly
R1TFCS3OPIPFNU,Ankit M.,4,ok ok quality fine temporary use
R2PMPZ0AV8AFQR,Jothi,4,good
R60EYISFTDKA8,Aish,4,slight small crack one dumbbell otherwise really good
RNR7MLGXJO9DH,Gopal raj,4,good product
RELM84HHXVTAD,E M,4,good home workout beginner
RV122GHUTX8IO,Amrita Singh,3,feel like dumbell boxed inside plastic casing end good home gym worth spent
RMV7A2MAVRLAJ,Kajal R,3,recieved early expected heavy kg light weight
R1F4FI24OZ6FAD,Wonder11,4,sand filled plastic job good
R1IV1V639O0KQD,karam,4,good product
RQTQKPLRE2WR3,Amazxy,4,product seems sturdy need use sometime write full review bar handle good friction holding
R168Y340TG0AUX,Manmeet kaur,4,good
R23AXQDOMFHE1Q,Shivangi Sharma,4,good beginner ordered kg total kg light intermediate level strength trainer really scared cap open happen packaging good rest product nice light thought kg per hand average weight light gon na replace
R1W0EMAC3LAG2W,Raksham Keshri,3,outer layer made plastic inside sand filled safety good individual home workout use beginner grip ok weight accurate kg weight total kg weight quality sturdy use care look good fit beginner home workout
R1SFKBH0O6IDV7,Aniket Purohit,3,using month think buy perfect hexagonal shape rotate put surface grip area also made plastic feel good metal
R28FJTQZ0J9NKC,lalit,3,build quality satisfying value money good beginner
R101ZJHASEMR8T,Dhiren Dedhia,3,one dumbell gm another gram unequal weight sand like sound felt using price ok
RZJBIA8YN838I,Nishan Ebenezer,4,ok nice feel like kg low weight gripping good ok
R295WZYHAE48OI,Pratistha Singh,4,beginner friendly
R3V3GHNE4AQZ79,Rathanesh,4,good
R2B4A1QJT61I4I,Kajal,3,quality amazing easy grip talk weight le kg actually gm le actua weighteach dumblebut according money product good compair othersultimately greatfilling sandthis something make disappoint
RWVIABYKTI94P,Rita,4,dumbbell good one thing dumbbell equal weight way quality good grip dumbbell hood
R3GO1H8PFOCQYY,Haritha maddali,4,bought long agomaterial goodi recommend
R2LVJMW623OA41,Antony,4,good one
RTZI2MNUCCH6Q,Anil Singh,4,good
R3BJDONM07CW6C,Nithin Thomas,5,yeah baby kg everything job tf care aesthetic result matter
R1X53L3CT4ND52,Salim Nadaf,4,nice product coating also good
ROCW1KI4TW7S7,Akash,3,product good iam highly recomended buy least kg kg feel feel like half kg rahata hai kg
R295WZYHAE48OI,Pratistha Singh,4,beginner friendly
R3V3GHNE4AQZ79,Rathanesh,4,good
R2B4A1QJT61I4I,Kajal,3,quality amazing easy grip talk weight le kg actually gm le actua weighteach dumblebut according money product good compair othersultimately greatfilling sandthis something make disappoint
RWVIABYKTI94P,Rita,4,dumbbell good one thing dumbbell equal weight way quality good grip dumbbell hood
R3GO1H8PFOCQYY,Haritha maddali,4,bought long agomaterial goodi recommend
R2LVJMW623OA41,Antony,4,good one
RTZI2MNUCCH6Q,Anil Singh,4,good
R3BJDONM07CW6C,Nithin Thomas,5,yeah baby kg everything job tf care aesthetic result matter
R1X53L3CT4ND52,Salim Nadaf,4,nice product coating also good
ROCW1KI4TW7S7,Akash,3,product good iam highly recomended buy least kg kg feel feel like half kg rahata hai kg
R29ZSL89JU5U1C,Nas,4,easy use structure good quality need
R1WAC8DBHVVMD7,Jaymala P.,4,much bigger expected really great big size help grip overhead tricep press goblet squat sumo squat might cause slight trouble bicep curl hit body good quality anice product
RW1GZPK6VSOBX,Aryan Raj,3,design beginner friendly weight approximately accurate justifies price product r feel bulky opinion overall used several excercises like curl ups lateral raise shoulder press chest press upstand rowing etc
R18VA1UML8OIY9,Yaseen sadath,4,hopeless used product given tried returning twicebut response
R3K59AFVBP49F3,Aravind rathod,3,little bit cracking sound
R1DS9EW2AH8AK,GSB,3,material great quality bad odour coming dumbells due sand used inside also weighs kg together
R536LDQD4AJ8Z,Sidhu,3,photo look good reality plastic dumble filled sand rock honest low budget expect high demand
R3EZR697ATZA4X,Austin,4,good looking job
R2WALQCD3K0JX9,Amazon Customer,5,good
R2NNZM1MJA3TZY,Nithin k s,5,good one
R2O776MJADI35H,Sameer Shahi,4,right everything feel good dumbell build colour grip feel nice work well month come rate till
R2JADCK5OJY8NE,Bharat chouhan,3,one dumbbell filled properly gap inside pick sound inside
R2QPMYMPEE7DSY,priya madhuri kindo,4,begginers friendly
R1TFCS3OPIPFNU,Ankit M.,4,ok ok quality fine temporary use
R2PMPZ0AV8AFQR,Jothi,4,good
R60EYISFTDKA8,Aish,4,slight small crack one dumbbell otherwise really good
RNR7MLGXJO9DH,Gopal raj,4,good product
RELM84HHXVTAD,E M,4,good home workout beginner
RV122GHUTX8IO,Amrita Singh,3,feel like dumbell boxed inside plastic casing end good home gym worth spent
RMV7A2MAVRLAJ,Kajal R,3,recieved early expected heavy kg light weight
R2U7E55AROLXMB,Noreen,5,best
R57Y0RCROM26E,Sneha,3,size extremely huge kg dumbell compared brand also handle material leaf bad smell hand value money category
R31QVGWC0N0E58,Manjunath,3,ok
R2P8233FROQYOO,9049148232,5,nice product
R2USPRAV9MY615,Bansur Saranya,5,good
RCW15OMJH9BUK,It's very strong and better quality.,4,nice quality
R2BWQ5BM2SE09O,Isha,4,bit light kg
R1PEMNW7VGAKVE,Sunmeet Singh,5,worth every money
R3LDRK6RTMGCLG,chandra pandey,4,good
R1AFXUP83QYSX6,Amazon Customer,4,pvc dumbells bulkier metal one
R14F4FM7Y44W9E,Tankadhar M.,3,good
R20SJS9MQCJA0G,GENIUS,3,quality ok overall dumbble good beginner
R3G60NKRTVZMQ3,B sandesh,4,sufficient home workout plastic quality fine say strong sure last long earlier thought might spell plastic degrade long run different good material used worth price packaging also good three layer literally thanks lifelong budget clean product
RGYBBCHUCRU4Z,Jawahar,3,good
R3ODCQ4JK1L0RI,CHANDAN KUMAR SAHOO,3,okok
R2TLRKFYI39VOY,Pinku Ghosh,3,one product good filling improper making rattling sound movement
R2L9614K3UADRN,Ravindra S. Nagpure,4,superb excellent product
R1W73L0G2UUEKA,Yogesh,5,good price best suitable beginner
R3LDRK6RTMGCLG,chandra pandey,4,good
R1AFXUP83QYSX6,Amazon Customer,4,pvc dumbells bulkier metal one
R14F4FM7Y44W9E,Tankadhar M.,3,good
R20SJS9MQCJA0G,GENIUS,3,quality ok overall dumbble good beginner
R3G60NKRTVZMQ3,B sandesh,4,sufficient home workout plastic quality fine say strong sure last long earlier thought might spell plastic degrade long run different good material used worth price packaging also good three layer literally thanks lifelong budget clean product
RGYBBCHUCRU4Z,Jawahar,3,good
R3ODCQ4JK1L0RI,CHANDAN KUMAR SAHOO,3,okok
R2TLRKFYI39VOY,Pinku Ghosh,3,one product good filling improper making rattling sound movement
R2L9614K3UADRN,Ravindra S. Nagpure,4,superb excellent product
R1W73L0G2UUEKA,Yogesh,5,good price best suitable beginner
R295WZYHAE48OI,Pratistha Singh,4,beginner friendly
R3V3GHNE4AQZ79,Rathanesh,4,good
R2B4A1QJT61I4I,Kajal,3,quality amazing easy grip talk weight le kg actually gm le actua weighteach dumblebut according money product good compair othersultimately greatfilling sandthis something make disappoint
RWVIABYKTI94P,Rita,4,dumbbell good one thing dumbbell equal weight way quality good grip dumbbell hood
R3GO1H8PFOCQYY,Haritha maddali,4,bought long agomaterial goodi recommend
R2LVJMW623OA41,Antony,4,good one
RTZI2MNUCCH6Q,Anil Singh,4,good
R3BJDONM07CW6C,Nithin Thomas,5,yeah baby kg everything job tf care aesthetic result matter
R1X53L3CT4ND52,Salim Nadaf,4,nice product coating also good
ROCW1KI4TW7S7,Akash,3,product good iam highly recomended buy least kg kg feel feel like half kg rahata hai kg
R29ZSL89JU5U1C,Nas,4,easy use structure good quality need
R1WAC8DBHVVMD7,Jaymala P.,4,much bigger expected really great big size help grip overhead tricep press goblet squat sumo squat might cause slight trouble bicep curl hit body good quality anice product
RW1GZPK6VSOBX,Aryan Raj,3,design beginner friendly weight approximately accurate justifies price product r feel bulky opinion overall used several excercises like curl ups lateral raise shoulder press chest press upstand rowing etc
R18VA1UML8OIY9,Yaseen sadath,4,hopeless used product given tried returning twicebut response
R3K59AFVBP49F3,Aravind rathod,3,little bit cracking sound
R1DS9EW2AH8AK,GSB,3,material great quality bad odour coming dumbells due sand used inside also weighs kg together
R536LDQD4AJ8Z,Sidhu,3,photo look good reality plastic dumble filled sand rock honest low budget expect high demand
R3EZR697ATZA4X,Austin,4,good looking job
R2WALQCD3K0JX9,Amazon Customer,5,good
R2NNZM1MJA3TZY,Nithin k s,5,good one
RY88NCICXND29,prasad,4,liked
R1882GM7UGIT47,Yash kher,5,good product
RAXOA7CKBYG7W,Amal Vijayan,5,far better thought thankyou thankyou delaying th delivery missing second product bought together
RQ19CFUC8EX0X,Bharti Agrawal,5,good quality dumbbell
R1QBULASKMDNX8,Mohit Yadav,5,perfect
R2I6CWE96YYYJ0,Renu B.,4,oval good product kg dumbals kg see image captured
RDIJQQU3HWV89,Vasuki Kannan,5,super
R61ES5IL197Y4,Designs are totaly changed. 😥. Not happy at all.,4,good
R2PJJ2UXZEE36Q,Ritesh Velaga,4,think dumbbell filled concrete would explain low price noticeable rattling sound use yoga said hard complain expect great grip entire outer body plastic
R29ZSL89JU5U1C,Nas,4,easy use structure good quality need
R1WAC8DBHVVMD7,Jaymala P.,4,much bigger expected really great big size help grip overhead tricep press goblet squat sumo squat might cause slight trouble bicep curl hit body good quality anice product
RW1GZPK6VSOBX,Aryan Raj,3,design beginner friendly weight approximately accurate justifies price product r feel bulky opinion overall used several excercises like curl ups lateral raise shoulder press chest press upstand rowing etc
R18VA1UML8OIY9,Yaseen sadath,4,hopeless used product given tried returning twicebut response
R3K59AFVBP49F3,Aravind rathod,3,little bit cracking sound
R1DS9EW2AH8AK,GSB,3,material great quality bad odour coming dumbells due sand used inside also weighs kg together
R536LDQD4AJ8Z,Sidhu,3,photo look good reality plastic dumble filled sand rock honest low budget expect high demand
R3EZR697ATZA4X,Austin,4,good looking job
R2WALQCD3K0JX9,Amazon Customer,5,good
R2NNZM1MJA3TZY,Nithin k s,5,good one
R3LDRK6RTMGCLG,chandra pandey,4,good
R1AFXUP83QYSX6,Amazon Customer,4,pvc dumbells bulkier metal one
R14F4FM7Y44W9E,Tankadhar M.,3,good
R20SJS9MQCJA0G,GENIUS,3,quality ok overall dumbble good beginner
R3G60NKRTVZMQ3,B sandesh,4,sufficient home workout plastic quality fine say strong sure last long earlier thought might spell plastic degrade long run different good material used worth price packaging also good three layer literally thanks lifelong budget clean product
RGYBBCHUCRU4Z,Jawahar,3,good
R3ODCQ4JK1L0RI,CHANDAN KUMAR SAHOO,3,okok
R2TLRKFYI39VOY,Pinku Ghosh,3,one product good filling improper making rattling sound movement
R2L9614K3UADRN,Ravindra S. Nagpure,4,superb excellent product
R1W73L0G2UUEKA,Yogesh,5,good price best suitable beginner
R2U7E55AROLXMB,Noreen,5,best
R57Y0RCROM26E,Sneha,3,size extremely huge kg dumbell compared brand also handle material leaf bad smell hand value money category
R31QVGWC0N0E58,Manjunath,3,ok
R2P8233FROQYOO,9049148232,5,nice product
R2USPRAV9MY615,Bansur Saranya,5,good
RCW15OMJH9BUK,It's very strong and better quality.,4,nice quality
R2BWQ5BM2SE09O,Isha,4,bit light kg
R1PEMNW7VGAKVE,Sunmeet Singh,5,worth every money
R2U7E55AROLXMB,Noreen,5,best
R57Y0RCROM26E,Sneha,3,size extremely huge kg dumbell compared brand also handle material leaf bad smell hand value money category
R31QVGWC0N0E58,Manjunath,3,ok
R2P8233FROQYOO,9049148232,5,nice product
R2USPRAV9MY615,Bansur Saranya,5,good
RCW15OMJH9BUK,It's very strong and better quality.,4,nice quality
R2BWQ5BM2SE09O,Isha,4,bit light kg
R1PEMNW7VGAKVE,Sunmeet Singh,5,worth every money
R29ZSL89JU5U1C,Nas,4,easy use structure good quality need
R1WAC8DBHVVMD7,Jaymala P.,4,much bigger expected really great big size help grip overhead tricep press goblet squat sumo squat might cause slight trouble bicep curl hit body good quality anice product
RW1GZPK6VSOBX,Aryan Raj,3,design beginner friendly weight approximately accurate justifies price product r feel bulky opinion overall used several excercises like curl ups lateral raise shoulder press chest press upstand rowing etc
R18VA1UML8OIY9,Yaseen sadath,4,hopeless used product given tried returning twicebut response
R3K59AFVBP49F3,Aravind rathod,3,little bit cracking sound
R1DS9EW2AH8AK,GSB,3,material great quality bad odour coming dumbells due sand used inside also weighs kg together
R536LDQD4AJ8Z,Sidhu,3,photo look good reality plastic dumble filled sand rock honest low budget expect high demand
R3EZR697ATZA4X,Austin,4,good looking job
R2WALQCD3K0JX9,Amazon Customer,5,good
R2NNZM1MJA3TZY,Nithin k s,5,good one
RY88NCICXND29,prasad,4,liked
R1882GM7UGIT47,Yash kher,5,good product
RAXOA7CKBYG7W,Amal Vijayan,5,far better thought thankyou thankyou delaying th delivery missing second product bought together
RQ19CFUC8EX0X,Bharti Agrawal,5,good quality dumbbell
R1QBULASKMDNX8,Mohit Yadav,5,perfect
R2I6CWE96YYYJ0,Renu B.,4,oval good product kg dumbals kg see image captured
RDIJQQU3HWV89,Vasuki Kannan,5,super
R61ES5IL197Y4,Designs are totaly changed. 😥. Not happy at all.,4,good
R2PJJ2UXZEE36Q,Ritesh Velaga,4,think dumbbell filled concrete would explain low price noticeable rattling sound use yoga said hard complain expect great grip entire outer body plastic
RY88NCICXND29,prasad,4,liked
R1882GM7UGIT47,Yash kher,5,good product
RAXOA7CKBYG7W,Amal Vijayan,5,far better thought thankyou thankyou delaying th delivery missing second product bought together
RQ19CFUC8EX0X,Bharti Agrawal,5,good quality dumbbell
R1QBULASKMDNX8,Mohit Yadav,5,perfect
R2I6CWE96YYYJ0,Renu B.,4,oval good product kg dumbals kg see image captured
RDIJQQU3HWV89,Vasuki Kannan,5,super
R61ES5IL197Y4,Designs are totaly changed. 😥. Not happy at all.,4,good
R2PJJ2UXZEE36Q,Ritesh Velaga,4,think dumbbell filled concrete would explain low price noticeable rattling sound use yoga said hard complain expect great grip entire outer body plastic
R2U7E55AROLXMB,Noreen,5,best
R57Y0RCROM26E,Sneha,3,size extremely huge kg dumbell compared brand also handle material leaf bad smell hand value money category
R31QVGWC0N0E58,Manjunath,3,ok
R2P8233FROQYOO,9049148232,5,nice product
R2USPRAV9MY615,Bansur Saranya,5,good
RCW15OMJH9BUK,It's very strong and better quality.,4,nice quality
R2BWQ5BM2SE09O,Isha,4,bit light kg
R1PEMNW7VGAKVE,Sunmeet Singh,5,worth every money
RY88NCICXND29,prasad,4,liked
R1882GM7UGIT47,Yash kher,5,good product
RAXOA7CKBYG7W,Amal Vijayan,5,far better thought thankyou thankyou delaying th delivery missing second product bought together
RQ19CFUC8EX0X,Bharti Agrawal,5,good quality dumbbell
R1QBULASKMDNX8,Mohit Yadav,5,perfect
R2I6CWE96YYYJ0,Renu B.,4,oval good product kg dumbals kg see image captured
RDIJQQU3HWV89,Vasuki Kannan,5,super
R61ES5IL197Y4,Designs are totaly changed. 😥. Not happy at all.,4,good
R2PJJ2UXZEE36Q,Ritesh Velaga,4,think dumbbell filled concrete would explain low price noticeable rattling sound use yoga said hard complain expect great grip entire outer body plastic
RDW05V797QQE7,BARON,5,excellent product affordable price go
R2V45HYX6HIIX8,Nice bat .. but grip is too thin ... Have to tie a new grip 🫤head is little disbalanced maybe delivery packaging... Tooo poor packaging by Amazon... But hopefully my product is not damaged .. now waiting for playing experience,4,product good best beginner quality good price point recommended packaging also good
R1OJBS99OWJ67P,Saumyadeep Ghosh,5,weight accurate finishing good colour exact display grip good use
R352KBOAIS3LD5,Reshma,3,average quality ok price
RUEEDJFGI2JAS,Atul Chaudhary,4,cheap worknot fragilecame good conditiongo
R2ED94I0JGZ6BO,aneeshantony,5,sharp expected date delivery happy product thank much amazon
R1UTG85IVQUQ6C,Shruti Pandey,5,good daily use
R3TQ1605QL9FHC,Kapil mishra,3,writing review using month first two three week great accurate size three week started noticing sand sound using go increasing result much good build quality noticed crack one dumbell one month gon na cover tape sand filled start coming kindda slippery use properly hurry cuz keep safe injury losing balance black color abd effective workout build quality improved atleast last month see condition month sure would last month
R3JY7F39M94IBO,Riya,4,cute amazing product make exercise grab flex muscle
ROF0A6JA3S69W,Kindle Customer,4,little bigger size expected kg otherwise value money
RKJARIJTZDMPI,Nithya ponshankar,4,weight correct colour look
R2VWGNBH1144QA,lingarao,4,good home workout effectiveness
R12VDB80M2OHLX,Trendz_M_A,4,quality good enough weight management good dumbells plastic used tough
R5SC6GVCB9RSX,mala.k,4,good u buy better product
R3PYK73DDWSBNX,Sureshmothukoori,4,good worthy product range
R3OHS4LGD10KIV,Best bat,4,best product price
R2E2B6HLP27ID7,Allan,4,one dumbell weight accurate plastic quality flimsy must used delicately finishing could better mould finishing sharp edge cut skin overall
R16ITOZBEB41UH,Tangu,4,strong enough
R219D6GUUNJVO5,Raju P Abraham,4,good quality item prefer little handle length ok
RDW05V797QQE7,BARON,5,excellent product affordable price go
R2V45HYX6HIIX8,Nice bat .. but grip is too thin ... Have to tie a new grip 🫤head is little disbalanced maybe delivery packaging... Tooo poor packaging by Amazon... But hopefully my product is not damaged .. now waiting for playing experience,4,product good best beginner quality good price point recommended packaging also good
R1OJBS99OWJ67P,Saumyadeep Ghosh,5,weight accurate finishing good colour exact display grip good use
R352KBOAIS3LD5,Reshma,3,average quality ok price
RUEEDJFGI2JAS,Atul Chaudhary,4,cheap worknot fragilecame good conditiongo
R2ED94I0JGZ6BO,aneeshantony,5,sharp expected date delivery happy product thank much amazon
R1UTG85IVQUQ6C,Shruti Pandey,5,good daily use
R3TQ1605QL9FHC,Kapil mishra,3,writing review using month first two three week great accurate size three week started noticing sand sound using go increasing result much good build quality noticed crack one dumbell one month gon na cover tape sand filled start coming kindda slippery use properly hurry cuz keep safe injury losing balance black color abd effective workout build quality improved atleast last month see condition month sure would last month
R3JY7F39M94IBO,Riya,4,cute amazing product make exercise grab flex muscle
R36Q7XE0BCS5TQ,Deivarani mary.j,4,good product
R1W746M7IVGAIV,Placeholder,4,good
RR4YPJ66T0W8A,kandasamy,4,plastic one
R16FJT2W0BLA88,Karan,4,good quality
RMUE2C6R98XA1,Sk A Alam,4,home use product
R3W1QJKF0JWGMC,Sumit s.,4,nice dumbbell shown image
R30IOBBKH192LX,Raziya sultana,4,helpful
R1N16AJZBS672M,Shiwani Prakash,4,good looking colour finishing also good packaging also good taken dilivery charge extra
R3JO016YKP2FMZ,Samadhan lohar,4,best option beginning little bigger shown image
R1V73QHCUFSO3G,Rama,4,good item
ROF0A6JA3S69W,Kindle Customer,4,little bigger size expected kg otherwise value money
RKJARIJTZDMPI,Nithya ponshankar,4,weight correct colour look
R2VWGNBH1144QA,lingarao,4,good home workout effectiveness
R12VDB80M2OHLX,Trendz_M_A,4,quality good enough weight management good dumbells plastic used tough
R5SC6GVCB9RSX,mala.k,4,good u buy better product
R3PYK73DDWSBNX,Sureshmothukoori,4,good worthy product range
R3OHS4LGD10KIV,Best bat,4,best product price
R2E2B6HLP27ID7,Allan,4,one dumbell weight accurate plastic quality flimsy must used delicately finishing could better mould finishing sharp edge cut skin overall
R16ITOZBEB41UH,Tangu,4,strong enough
R219D6GUUNJVO5,Raju P Abraham,4,good quality item prefer little handle length ok
RDW05V797QQE7,BARON,5,excellent product affordable price go
R2V45HYX6HIIX8,Nice bat .. but grip is too thin ... Have to tie a new grip 🫤head is little disbalanced maybe delivery packaging... Tooo poor packaging by Amazon... But hopefully my product is not damaged .. now waiting for playing experience,4,product good best beginner quality good price point recommended packaging also good
R1OJBS99OWJ67P,Saumyadeep Ghosh,5,weight accurate finishing good colour exact display grip good use
R352KBOAIS3LD5,Reshma,3,average quality ok price
RUEEDJFGI2JAS,Atul Chaudhary,4,cheap worknot fragilecame good conditiongo
R2ED94I0JGZ6BO,aneeshantony,5,sharp expected date delivery happy product thank much amazon
R1UTG85IVQUQ6C,Shruti Pandey,5,good daily use
R3TQ1605QL9FHC,Kapil mishra,3,writing review using month first two three week great accurate size three week started noticing sand sound using go increasing result much good build quality noticed crack one dumbell one month gon na cover tape sand filled start coming kindda slippery use properly hurry cuz keep safe injury losing balance black color abd effective workout build quality improved atleast last month see condition month sure would last month
R3JY7F39M94IBO,Riya,4,cute amazing product make exercise grab flex muscle
R1F4FI24OZ6FAD,Wonder11,4,sand filled plastic job good
R1IV1V639O0KQD,karam,4,good product
RQTQKPLRE2WR3,Amazxy,4,product seems sturdy need use sometime write full review bar handle good friction holding
R168Y340TG0AUX,Manmeet kaur,4,good
R23AXQDOMFHE1Q,Shivangi Sharma,4,good beginner ordered kg total kg light intermediate level strength trainer really scared cap open happen packaging good rest product nice light thought kg per hand average weight light gon na replace
R1W0EMAC3LAG2W,Raksham Keshri,3,outer layer made plastic inside sand filled safety good individual home workout use beginner grip ok weight accurate kg weight total kg weight quality sturdy use care look good fit beginner home workout
R1SFKBH0O6IDV7,Aniket Purohit,3,using month think buy perfect hexagonal shape rotate put surface grip area also made plastic feel good metal
R28FJTQZ0J9NKC,lalit,3,build quality satisfying value money good beginner
R101ZJHASEMR8T,Dhiren Dedhia,3,one dumbell gm another gram unequal weight sand like sound felt using price ok
RZJBIA8YN838I,Nishan Ebenezer,4,ok nice feel like kg low weight gripping good ok
R36Q7XE0BCS5TQ,Deivarani mary.j,4,good product
R1W746M7IVGAIV,Placeholder,4,good
RR4YPJ66T0W8A,kandasamy,4,plastic one
R16FJT2W0BLA88,Karan,4,good quality
RMUE2C6R98XA1,Sk A Alam,4,home use product
R3W1QJKF0JWGMC,Sumit s.,4,nice dumbbell shown image
R30IOBBKH192LX,Raziya sultana,4,helpful
R1N16AJZBS672M,Shiwani Prakash,4,good looking colour finishing also good packaging also good taken dilivery charge extra
R3JO016YKP2FMZ,Samadhan lohar,4,best option beginning little bigger shown image
R1V73QHCUFSO3G,Rama,4,good item
RDW05V797QQE7,BARON,5,excellent product affordable price go
R2V45HYX6HIIX8,Nice bat .. but grip is too thin ... Have to tie a new grip 🫤head is little disbalanced maybe delivery packaging... Tooo poor packaging by Amazon... But hopefully my product is not damaged .. now waiting for playing experience,4,product good best beginner quality good price point recommended packaging also good
R1OJBS99OWJ67P,Saumyadeep Ghosh,5,weight accurate finishing good colour exact display grip good use
R352KBOAIS3LD5,Reshma,3,average quality ok price
RUEEDJFGI2JAS,Atul Chaudhary,4,cheap worknot fragilecame good conditiongo
R2ED94I0JGZ6BO,aneeshantony,5,sharp expected date delivery happy product thank much amazon
R1UTG85IVQUQ6C,Shruti Pandey,5,good daily use
R3TQ1605QL9FHC,Kapil mishra,3,writing review using month first two three week great accurate size three week started noticing sand sound using go increasing result much good build quality noticed crack one dumbell one month gon na cover tape sand filled start coming kindda slippery use properly hurry cuz keep safe injury losing balance black color abd effective workout build quality improved atleast last month see condition month sure would last month
R3JY7F39M94IBO,Riya,4,cute amazing product make exercise grab flex muscle
ROF0A6JA3S69W,Kindle Customer,4,little bigger size expected kg otherwise value money
RKJARIJTZDMPI,Nithya ponshankar,4,weight correct colour look
R2VWGNBH1144QA,lingarao,4,good home workout effectiveness
R12VDB80M2OHLX,Trendz_M_A,4,quality good enough weight management good dumbells plastic used tough
R5SC6GVCB9RSX,mala.k,4,good u buy better product
R3PYK73DDWSBNX,Sureshmothukoori,4,good worthy product range
R3OHS4LGD10KIV,Best bat,4,best product price
R2E2B6HLP27ID7,Allan,4,one dumbell weight accurate plastic quality flimsy must used delicately finishing could better mould finishing sharp edge cut skin overall
R16ITOZBEB41UH,Tangu,4,strong enough
R219D6GUUNJVO5,Raju P Abraham,4,good quality item prefer little handle length ok
R2O776MJADI35H,Sameer Shahi,4,right everything feel good dumbell build colour grip feel nice work well month come rate till
R2JADCK5OJY8NE,Bharat chouhan,3,one dumbbell filled properly gap inside pick sound inside
R2QPMYMPEE7DSY,priya madhuri kindo,4,begginers friendly
R1TFCS3OPIPFNU,Ankit M.,4,ok ok quality fine temporary use
R2PMPZ0AV8AFQR,Jothi,4,good
R60EYISFTDKA8,Aish,4,slight small crack one dumbbell otherwise really good
RNR7MLGXJO9DH,Gopal raj,4,good product
RELM84HHXVTAD,E M,4,good home workout beginner
RV122GHUTX8IO,Amrita Singh,3,feel like dumbell boxed inside plastic casing end good home gym worth spent
RMV7A2MAVRLAJ,Kajal R,3,recieved early expected heavy kg light weight
R1F4FI24OZ6FAD,Wonder11,4,sand filled plastic job good
R1IV1V639O0KQD,karam,4,good product
RQTQKPLRE2WR3,Amazxy,4,product seems sturdy need use sometime write full review bar handle good friction holding
R168Y340TG0AUX,Manmeet kaur,4,good
R23AXQDOMFHE1Q,Shivangi Sharma,4,good beginner ordered kg total kg light intermediate level strength trainer really scared cap open happen packaging good rest product nice light thought kg per hand average weight light gon na replace
R1W0EMAC3LAG2W,Raksham Keshri,3,outer layer made plastic inside sand filled safety good individual home workout use beginner grip ok weight accurate kg weight total kg weight quality sturdy use care look good fit beginner home workout
R1SFKBH0O6IDV7,Aniket Purohit,3,using month think buy perfect hexagonal shape rotate put surface grip area also made plastic feel good metal
R28FJTQZ0J9NKC,lalit,3,build quality satisfying value money good beginner
